cluster_id,analysis_order,reference_id,treatment_id,execution_class,strict_correct,semantic_correct,semantic_determinate,output_tokens,finish_reason
f11a0c5f1e2de7da29cfc2f8f5541305,36,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,False,False,True,8192,length
ae347834bd9ff916cfea9382de9e0ece,208,BASE,T0_OFF,primary,True,True,True,405,stop
ae347834bd9ff916cfea9382de9e0ece,208,BASE,T1_SILENT_CHECK,primary,True,True,True,432,stop
ae347834bd9ff916cfea9382de9e0ece,208,MASK_SENTINEL,T0_OFF,primary,True,True,True,435,stop
ae347834bd9ff916cfea9382de9e0ece,208,MASK_SENTINEL,T1_SILENT_CHECK,primary,True,True,True,405,stop
ae347834bd9ff916cfea9382de9e0ece,208,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,True,True,True,435,stop
ae347834bd9ff916cfea9382de9e0ece,208,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,True,True,True,412,stop
94b2136f2b120626c87c0391ebcfa0b7,148,BASE,T0_OFF,primary,False,False,True,742,stop
94b2136f2b120626c87c0391ebcfa0b7,148,BASE,T1_SILENT_CHECK,primary,True,True,True,689,stop
94b2136f2b120626c87c0391ebcfa0b7,148,MASK_SENTINEL,T0_OFF,primary,False,False,True,813,stop
94b2136f2b120626c87c0391ebcfa0b7,148,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,True,True,True,773,stop
94b2136f2b120626c87c0391ebcfa0b7,148,MASK_SENTINEL,T1_SILENT_CHECK,primary,False,False,True,887,stop
94b2136f2b120626c87c0391ebcfa0b7,148,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,False,False,True,961,stop
622d6f22bcfa4d01198ab75aedc84783,200,BASE,T0_OFF,primary,True,True,True,316,stop
622d6f22bcfa4d01198ab75aedc84783,200,BASE,T1_SILENT_CHECK,primary,True,True,True,354,stop
622d6f22bcfa4d01198ab75aedc84783,200,MASK_SENTINEL,T0_OFF,primary,True,True,True,294,stop
622d6f22bcfa4d01198ab75aedc84783,200,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,True,True,True,296,stop
622d6f22bcfa4d01198ab75aedc84783,200,MASK_SENTINEL,T1_SILENT_CHECK,primary,True,True,True,343,stop
